id|tituloPincipal|tituloOriginal|anoLancamento|tempoMinutos|genero|notaMedia|numeroVotos|generoArtista|personagem|nomeArtista|anoNascimento|anoFalecimento|profissao|titulosMaisConhecidos
tt1686018|Creature|Creature|2011|93|Horror|3.6|3007|actor|LockjawGrimley|Daniel Bernhardt|1965|\N|actor,stunts,writer|tt0234215,tt2406566,tt1904996,tt2911666
tt1686044|When Death Calls|When Death Calls|2012|91|Horror|5.1|100|actress|Stacey Quoor|Tina Krause|1970|\N|actress,producer,director|tt0126820,tt5874116,tt0810815,tt0309916
tt1686330|X Game|X gêmu|2010|119|Horror|5.0|319|actor|\N|Shôta Chiyo|\N|\N|actor|tt1848903,tt1614408,tt1686330,tt2174252
tt1686902|Monsters in the Woods|Monsters in the Woods|2012|96|Horror|3.2|1319|actor|Burt|Edward Hendershott|\N|\N|actor,soundtrack|tt2145637,tt1235099,tt1758772,tt0286486
tt1687208|Abolition|Abolition|2011|82|Horror|4.5|91|actress|Mia|Elissa Dowling|\N|\N|actress,producer|tt15822738,tt3520418,tt1282052,tt9026184
tt1690097|666|666|2010|85|Horror|4.7|31|actress|\N|Crystal Castillo|\N|\N|actress|tt1690097
tt16913072|Fallen|Fallen|2022|84|Horror|2.2|228|actress|\N|Ortensia Fioravanti|\N|\N|actress,writer|tt16453354,tt22176614,tt15827940,tt16913072
tt1691450|Plastic|Plastic|2011|80|Horror|6.2|106|actor|Michael Harris|Matthew E. Prochazka|\N|\N|actor,stunts|tt1566041,tt1691450,tt1193622,tt0475283
tt16918304|Found Footage of Fear: Digital Terror|Found Footage of Fear: Digital Terror|2022|\N|Horror|5.0|52|actor|Extra|Rishky Patel|\N|\N|actor|tt8090624,tt6256610,tt15135004,tt10379140
tt1691924|Blood Redd|Blood Redd|2017|90|Horror|2.7|199|actress|Lauren Redd|Stephanie Hullar|\N|\N|actress|tt1691924,tt2091229,tt0903132,tt0498617
tt1693865|Rayuan Arwah Penasaran|Rayuan Arwah Penasaran|2010|90|Horror|4.5|16|actor|\N|Dimaz Andrean|\N|\N|actor|tt10613796,tt7521804,tt14579998,tt1726076
tt1694507|Demon of Castlebury|Demon of Castlebury|2011|126|Horror|4.1|22|actress|Grace Ryan|Lucy Jade Norris|\N|\N|actress|tt1789749,tt1694507,tt1461289,tt1562921
tt16951480|Return of Krampus|Return of Krampus|2022|79|Horror|4.4|18|actress|Nikki|Amber Doig-Thorne|2000|\N|actress,producer,writer|tt11704036,tt19623240,tt11873440,tt8095862
tt16951524|Curse of Jack Frost|Curse of Jack Frost|2022|80|Horror|4.7|315|actress|Pepper|Lauren Staerck|\N|\N|actress|tt14984912,tt14394666,tt16951524,tt14684766
tt1696494|Caprice|Caprice|2010|50|Horror|7.7|25|actress|Caprice|Renee Thrasher|\N|\N|actress,costume_designer|tt4344742,tt4146964,tt1696494,tt3007808
